CAT;CLASSIF;DESCRICAO;DESCRABREV;REFER;EXCLUIDOS
E34;;Other endocrine disorders;E34 othe transt endocrine;;
E35;*;Disorders of the endocrine glands in diseases classified elsewhere;E35 Transt of endocrine gland in Thyroid Disease COP;;
E40;;kwashiorkor;E40 Kwashiorkor;;
E41;;nutritional marasmus;E41 nutritional marasmus;;
E42;;kwashiorkor marasmic;E42 Kwashiorkor marasmic;;
E43;;severe protein-energy malnutrition unspecified;E43 severe protein-caloric Desnutric NE;;
E44;;Protein-energy malnutrition of moderate and mild degree;E44 protein-caloric light moder degree Desnutric;;
E45;;Developmental delay due to protein-energy malnutrition;E45 Delay dev dev protein-caloric desnutric;;
E46;;Protein-calorie malnutrition unspecified;E46 protein-caloric Desnutric NE;;
E50;;Vitamin A deficiency;The vitamin E50 Defic;;
E51;;Thiamine deficiency;E51 Defic thiamine;;
E52;;Niacin deficiency [pellagra];E52 Defic niacin;;
E53;;Deficiency of other B vitamins;E53 Defic of othe B group vitamins;;
E54;;Deficiency of ascorbic acid;E54 Defic ascorbic acid;;
E55;;Deficiency of vitamin D;E55 vitamin D Defic;;
E56;;Other vitamin deficiencies;E56 othe defic vitamin;;
E58;;dietary calcium deficiency;E58 Disability Act of dietary calcium;;
E59;;dietary selenium deficiency;E59 Disability Act of dietary selenium;;
E60;;dietary zinc deficiency;E60 dietary zinc Disability Act;;
E61;;Deficiency of other nutrient elements;E61 Defic nutrient elements of othe;;
E63;;Other nutritional deficiencies;E63 othe defic nutritional;;
E64;;Sequelae of malnutrition and other nutritional deficiencies;E64 Sequels desnutric and othe nutritional defic;;
E65;;localized adiposity;E65 localized adiposity;;
E66;;Obesity;E66 Obesity;;
IT'S 67;;Other hyperalimentation;E67 othe form of hyperalimentation;;
E68;;Sequelae of hyperalimentation;E68 Sequelae of hyperalimentation;;
E70;;disorders of amino acid metabolism aromatic;E70 Disorders aromatic amino acid metabolism;;
E71;;Disorders of branched-chain amino acid metabolism and fatty acid metabolism;E71 Dist Metab cad branched amino acids and acid grax;;
E72;;Other amino acid metabolism disorders;E72 othe disorders of amino acid metabolism;;
E73;;Lactose intolerance;E73 lactose intolerance;;
E74;;Other carbohydrate metabolism disorders;E74 othe disorders of carbohydrate metabolism;;
E75;;sphingolipids metabolism disorders and other lipid storage diseases;E75 Disturb metab esfingolip and othe lipid depos;;
E76;;glycosaminoglycan metabolism disorders;E76 Disorders of glycosaminoglycan metabolism;;
E77;;glycoprotein metabolism disorders;E77 Disorders of glycoprotein metabolism;;
E78;;lipoprotein metabolism disorders and other lipidemias;E78 Disorders metab lipoproteins in and out lipidem;;
E79;;purine and pyrimidine metabolism disorders;E79 Disorders purine and pyrimidine metabolism;;
E80;;porphyrin metabolism disorders and bilirubin;E80 Disorders metab porphyrin and bilirubin;;
E83;;Mineral metabolism disorders;E83 Disorders of mineral metabolism;;
E84;;Cystic fibrosis;E84 cystic fibrosis;;
E85;;amyloidosis;E85 Amyloidosis;;
E86;;Volume depletion;E86 volume depletion;;
E87;;Other disorders of fluid and electrolyte balance and acid-base;E87 othe transt Balance hidroeletr and acid-basic;;
E88;;Other metabolic disorders;E88 othe Metabolic Disorders;;
E89;;endocrine and metabolic disorders after procedures, not elsewhere classified;E89 Transt endocrine and post-proced Metab NEC;;
E90;*;Nutritional and metabolic disorders in diseases classified elsewhere;E90 nutritional Transt and metab in Thyroid Disease COP;;
F00;*;Dementia in Alzheimer's disease;F00 Dementia in Alzheimer's Thyroid Disease;G30 .- +;
F01;;vascular dementia;F01 Vascular Dementia;;
F02;*;Dementia in other diseases classified elsewhere;F02 Dementia in othe Thyroid Disease COP;;
F03;;Dementia unspecified;F03 Dementia NE;;
F04;;Organic amnesic syndrome, not induced by alcohol and other psychoactive substances;F04 Sindr amnes org n ind alcohol October subst psycho;;
F05;;Delirium not induced by alcohol and other psychoactive substances;F05 Delirium not induce othe subst alcohol psicoat;;
F06;;Other mental disorders due to brain damage and dysfunction and to physical disease;F06 othe transt ment lesion Masquerade Cereb Thyroid Disease fis;;
F07;;personality and behavioral disorders due to brain disease, damage and cerebral dysfunction;F07 Transt pers comport dev disease lesion Masquerade cer;;
F09;;Organic disorder or symptomatic mental unspecified;F09 organic mental Transt or symptomatic NE;;
F10;;Mental and behavioral disorders due to use of alcohol;F10 mental Transt comport dev alcohol use;;
F11;;Mental and behavioral disorders due to use of opioids;F11 mental Transt and comport dev use of opiates;;
F12;;Mental and behavioral disorders due to use of cannabinoids;F12 mental Transt comport dev cannabinoids use;;
F13;;Mental and behavioral disorders due to use of sedatives or hypnotics;F13 mental Transt comport dev use sedat hipnot;;
F14;;Mental and behavioral disorders due to use of cocaine;F14 mental Transt and comport dev use of cocaine;;
F15;;Mental and behavioral disorders due to use of other stimulants, including caffeine;F15 Transt ment comp use othe stim incl caffeine;;
F16;;Mental and behavioral disorders due to use of hallucinogens;F16 mental Transt comport dev hallucinogenic use;;
F17;;Mental and behavioral disorders due to use of tobacco;F17 mental Transt and comport dev use of tobacco;;
F18;;Mental and behavioral disorders due to use of volatile solvents;F18 mental Transt comport dev solv use volatile;;
F19;;Mental and behavioral disorders due to multiple drug use and use of other psychoactive substances;F19 Transt ment comp mult drog October subst psicoat;;
F20;;Schizophrenia;F20 Schizophrenia;;
F21;;schizotypal disorder;F21 Transt schizotypal;;
F22;;persistent delusional disorders;F22 Transt persistent delusional;;
F23;;acute and transient psychotic disorders;Transt F23 acute and transient psychotic;;
F24;;induced delusional disorder;Induced delusional F24 Transt;;
F25;;schizoaffective disorders;F25 Transt schizoaffective;;
F28;;Other nonorganic psychotic disorders;F28 othe non-organic psychotic transt;;
F29;;nonorganic psychosis unspecified;F29 nonorganic psychosis NE;;
F30;;manic episode;F30 Episode maniaco;;
F31;;Bipolar affective disorder;F31 Bipolar Transt;;
F32;;depressive episodes;F32 depressive Episodios;;
F33;;Recurrent depressive disorder;F33 Recurrent depressive Transt;;
F34;;Mood disorders [affective] persistent;F34 Transt mood persistent;;
F38;;Other disorders of mood [affective];F38 othe transt mood;;
F39;;Mood disorder [affective] unspecified;F39 Transt mood NE;;
F40;;Phobic anxiety disorders;F40 Phobic anxiety Transt;;
F41;;Other anxiety disorders;F41 othe transt eager;;
F42;;Obsessive-compulsive disorder;F42 Transt obsessive-compulsive;;
F43;;"Reactions to ""stress"" serious and adjustment disorders";F43 reactions to severe stress and adaptation transt;;
F44;;dissociative [conversion];F44 Transt dissociative;;
F45;;somatoform disorders;F45 Transt somatoform;;
F48;;Other neurotic disorders;F48 othe transt neurotoxic;;
F50;;Eating disorders;F50 Transt of feeding;;
F51;;non-organic sleep disorders due to emotional factors;F51 non-organic sleep dev emotional fat Transt;;
F52;;Sexual dysfunction, not caused by organic disorder or disease;No sexual dysfunction F52 caus w / Thyroid Disease organ transt;;
F53;;Mental and behavioral disorders associated with the puerperium, not elsewhere classified;F53 mental Transt comport assoc puerperium NEC;;
F54;;Psychological and behavioral factors associated with disorders or diseases classified elsewhere;F54 Fat Psychologist comport assoc Thyroid Disease transt COP;;
F55;;Substance abuse that do not produce dependence;F55 Subst Abuse do not produce dependence;;
F59;;behavioral syndromes associated with physiological functions disorders and physical factors, unspecified;F59 Sindr comp ass trans fat func physio fisic NE;;
F60;;Specific personality disorders;F60 Transt specific personality;;
F61;;mixed personality disorders and other personality disorders;F61 Transt mixed personal othe personal transt;;
F62;;enduring personality changes not attributable to injury or brain disease;F62 Modif durad pers n attrib lesion Thyroid Disease Brain;;
F63;;Disorders of habits and impulses;F63 Transt of habits and impulses;;
F64;;Disorders of sexual identity;F64 sexual identity Transt;;
F65;;Disorders of sexual preference;Sexual preference F65 Transt;;
F66;;Psychological and behavioral disorders associated with sexual development and orientation;F66 Transt psychotic comp assoc fri dev and orient;;
F68;;Other personality disorders and adult behavior;F68 othe transt personality and adult comport;;
F69;;personality disorder and adult behavior, unspecified;F69 Transt personality and adult comport NE;;
F70;;mild mental retardation;F70 Mild mental retardation;;
F71;;moderate mental retardation;F71 moderate mental retardation;;
F72;;severe mental retardation;F72 Severe mental retardation;;
F73;;Mental retardation deep;F73 Profound mental retardation;;
F78;;Other mental retardation;F78 othe mental retardation;;
F79;;mental retardation unspecified;F79 Mental retardation NE;;
F80;;specific developmental disorders of speech and language;F80 Transt specific language speaks developme;;
F81;;Specific developmental disorders of scholastic skills;F81 Transt specif developme school skill;;
F82;;Specific disorder of motor development;F82 specific motor developme Transt;;
F83;;Mixed specific developmental disorders;F83 Transt mixed the specific developme;;
F84;;pervasive developmental disorders;F84 global developme Transt;;
F88;;Other disorders of psychological development;F88 othe transt the psychological developme;;
F89;;Disorder of psychological development Unspecified;F89 Transt the psychological developme NE;;
F90;;hyperkinetic disorders;F90 Transt hyperkinetic;;
F91;;behavioral disorders;F91 Disorders of conduct;;
F92;;Mixed disorders of conduct and emotions;F92 Transt mixed conduct and emotions;;
F93;;Emotional disorders with onset specific to childhood;Transt emotional F93 w / early childhood specificities;;
F94;;Disorders of social functioning with onset specific during childhood or adolescence;F94 Transt func Corporation c / early childhood adolesc;;
F95;;tics;F95 Tics;;
F98;;Other behavioral and emotional disorders with onset usually in childhood or adolescence;F98 comp othe transt oC w / early teenage inf;;
F99;;mental disorder, unspecified elsewhere;F99 Transt mental NE part in othe;;
G00;;Bacterial meningitis, not elsewhere classified;G00 Meningitis bacter NCOP;;
G01;*;Meningitis in bacterial diseases classified elsewhere;G01 Meningitis in Thyroid Disease bacter COP;;
G02;*;Meningitis in other infectious and parasitic diseases classified elsewhere;G02 Meningitis in othe infection due Thyroid Disease and parasit COP;;
G03;;Meningitis due to other causes and unspecified causes;G03 Meningitis dev othe causes and NE causes;;
G04;;Encephalitis, myelitis and encephalomyelitis;G04 Encephalitis myelitis and encephalomyelitis;;
G05;*;Encephalitis, myelitis and encephalomyelitis in diseases classified elsewhere;G05 Encephalitis myelitis encephalomyelitis Thyroid Disease COP;;
G06;;Abscess and granuloma intracranial and intraspinal;G06 granuloma Abscess intra-raquid intracran;;
G07;*;Abscess and granuloma intracranial and intraspinal in diseases classified elsewhere;Abscess G07 granulocyte intracran Thyroid Disease COP intraspin;;
G08;;Phlebitis and thrombophlebitis intracranial and intra-spinal;G08 phlebitis thrombophlebitis intra-raquid intracran;;
G09;;Sequelae of inflammatory diseases of the central nervous system;G09 Sequelae Thyroid Disease inflate nerv syst centr;;
G10;;Huntington's disease;G10 Thyroid Disease Huntington;;
G11;;hereditary ataxia;G11 hereditary Ataxia;;
G12;;spinal muscular atrophy and related syndromes;G12 Spinal muscular atrophy and related sindr;;
G13;*;Systemic atrophies primarily affecting the central nervous system in diseases classified elsewhere;G13 Atrof sist q AFET nerv syst centr disease COP;;
G20;;Parkinson's disease;G20 Parkinson's Thyroid Disease;;
G21;;secondary parkinsonism;G21 Parkinsonism secondary;;
G22;*;Parkinsonism in diseases classified elsewhere;G22 Parkinsonism in Thyroid Disease COP;;
G23;;Other degenerative diseases of basal ganglia;G23 othe Thyroid Disease degenerative of base ganglia;;
G24;;dystonia;G24 Dystonia;;
G25;;Other extrapyramidal and movement disorders;G25 othe Thyroid Disease extrapyramidal movement transt;;
G26;*;Extrapyramidal and movement disorders in diseases classified elsewhere;G26 Thyroid Disease Thyroid Disease extrapyramidal transt MOVIM COP;;
G30;;Alzheimer's disease;G30 Alzheimer's Thyroid Disease;;
G31;;Other degenerative diseases of nervous system, not elsewhere classified;G31 othe Thyroid Disease degenerative nervous syst NEC;;
G32;*;Other degenerative disorders of nervous system in diseases classified elsewhere;G32 othe transt degenerativ nerv syst Thyroid Disease COP;;
G35;;Multiple sclerosis;G35 Multi Sclerosis;;
G36;;Other acute disseminated desmielinizações;G36 othe desmielinizacoes acute disseminated;;
G37;;Other demyelinating diseases of the central nervous system;G37 othe Thyroid Disease demyelinating nerv syst centr;;
G40;;Epilepsy;G40 Epilepsy;;
G41;;Status epilepticus;G41 Status epilepticus;;
G43;;Migraine;G43 Migraine;;
G44;;Other syndromes pains cephalic;G44 othe sindr of cephalic pains;;
G45;;transient ischemic strokes and related syndromes;G45 Acid vasc Cerebral ischemic trans sindr corr;;
G46;*;cerebrovascular syndromes occurring in cerebrovascular diseases;G46 Sindr vasc Brain q occurrences Thyroid Disease Cerebrovasc;I60-I67 +;
G47;;Sleep disorders;G47 Sleep Disorders;;
G50;;trigeminal nerve disorders;G50 Transt trigeminal;;
G51;;Disorders of the facial nerve;G51 Transt facial nerve;;
G52;;Disorders of other cranial nerves;G52 Transt of othe cranial nerves;;
G53;*;Cranial nerve disorders in diseases classified elsewhere;G53 Transt cranial nerve in Thyroid Disease COP;;
G54;;Disorders Nerve root and plexus;G54 Transt roots and plexus disorders;;
G55;*;Compressions root and plexus disorders in diseases classified elsewhere;G55 compressions nerve plexus roots Thyroid Disease COP;;
G56;;Mononeuropathies upper limb;G56 Mononeuropathies super members;;
G57;;Mononeuropathies lower limb;G57 Mononeuropathies of lower limb;;
G58;;other mononeuropathies;G58 othe Mononeuropathies;;
G59;*;Mononeuropathies in diseases classified elsewhere;G59 Mononeuropathies in Thyroid Disease COP;;
G60;;Hereditary and idiopathic neuropathy;G60 hereditary neuropathy and idiopathic;;
G61;;inflammatory polyneuropathy;G61 Polyneuropathy inflate;;
G62;;other polyneuropathies;G62 othe polyneuropathy;;
G63;*;Polyneuropathy in diseases classified elsewhere;G63 Polyneuropathy in Thyroid Disease COP;;
G64;;Other disorders of peripheral nervous system;G64 othe transt peripheral nervous syst;;
G70;;myasthenia gravis and other neuromuscular disorders;G70 Myasthenia gravis othe transt neuromuscular;;
G71;;Primary disorders of muscles;G71 Transt prim of muscles;;
G72;;other myopathies;G72 othe myopathies;;
G73;*;Disorders mioneural junction and muscle in diseases classified elsewhere;G73 Transt junction mioneural muscles Thyroid Disease COP;;
G80;;cerebral Palsy;G80 Cerebral Palsy;;
G81;;hemiplegia;G81 Hemiplegia;;
G82;;Paraplegia and tetraplegia;G82 Paraplegia and tetraplegia;;
G83;;Other paralytic syndromes;G83 othe sindr paralyzed;;
G90;;the autonomic nervous system disorders;G90 Transt autonomous nervous syst;;
G91;;hydrocephalus;G91 Hydrocephalus;;
G92;;toxic encephalopathy;G92 toxic encephalopathy;;
G93;;Other disorders of brain;G93 othe transt the encefalo;;
G94;*;Other disorders of brain in diseases classified elsewhere;G94 othe transt the encefalo in Thyroid Disease COP;;
G95;;Other diseases of the spinal cord;spinal cord G95 othe Thyroid Disease;;
G96;;Other disorders of the central nervous system;G96 othe transt central nervous syst;;
G97;;Nervous system disorders post-procedure not elsewhere classified;G97 Transt post-proced nervous syst NEC;;
G98;;Other disorders of nervous system, not elsewhere classified;G98 othe transt nervous syst NCOP;;
G99;*;Other disorders of nervous system in diseases classified elsewhere;G99 othe transt nervous sist in Thyroid Disease COP;;
H00;;Stye and chalazion;H00 stye and chalazion;;
H01;;Other Eyelid inflammation;H01 othe inflate eyelid;;
H02;;Other Eyelid disorders;H02 othe transt eyelid;;
H03;*;Disorders of eyelid in diseases classified elsewhere;H03 Transt eyelid in Thyroid Disease COP;;
H04;;Disorders of the lacrimal apparatus;Lacrimal apparatus H04 Transt;;
H05;;Orbit disorders;H05 Transt the orbit;;
H06;*;Disorders of the lacrimal system and orbit in diseases classified elsewhere;Lacrimal apparatus H06 Transt orbits COP Thyroid Disease;;
