SUBCAT;CLASSIF;RESTRSEXO;CAUSAOBITO;DESCRICAO;DESCRABREV;REFER;EXCLUIDOS
A819;;;;Infection unspecified central nervous system atypical virus;A81.9 infection due NE central nerv syst w / atypical virus;;
A820;;;;wildlife rabies;A82.0 wildlife rabies;;
A821;;;;urban rabies;A82.1 Urban rabies;;
A829;;;;unspecified Anger;A82.9 Rabies NE;;
A830;;;;Japanese encephalitis;A83.0 Japanese encephalitis;;
A831;;;;Western equine encephalitis;Western equine encephalitis A83.1;;
A832;;;;Eastern equine encephalitis;Eastern equine encephalitis A83.2;;
A833;;;;St. Louis encephalitis;A83.3 Encephalitis St. Louis;;
A834;;;;Australian encephalitis;A83.4 Australian Encephalitis;;
A835;;;;California encephalitis;A83.5 Encephalitis, California;;
A836;;;;By Rocio virus disease;Thyroid Disease A83.6 w / Rocio virus;;
A838;;;;Other encephalitis virus transmitted by mosquitoes;A83.8 othe encephalitis w / w transm virus / mosquitos;;
A839;;;;Unspecified Encephalitis virus spread by mosquitoes;A83.9 Encephalitis NE w / w transm virus / mosquitos;;
A840;;;;Taiga encephalitis [Russian vernoestival encephalitis];A84.0 Encephalitis taiga;;
A841;;;;Central European encephalitis transmitted by ticks;A84.1 Encephalitis Central Europe transm p / tick;;
A848;;;;Other encephalitis virus transmitted by ticks;A84.8 othe encephalitis w / transm virus w / ticks;;
A849;;;;Unspecified Encephalitis virus transmitted by ticks;A84.9 Encephalitis NE w / transm virus w / ticks;;
A850;+;;;Enteroviral encephalitis;A85.0 Encephalitis w / enterovirus;G05.1 *;
A851;+;;;Encephalitis adenovirus;A85.1 Encephalitis w / adenovirus;G05.1 *;
A852;;;;Encephalitis virus transmitted by arthropods, unspecified;A85.2 Encephalitis w / w transm virus / NE arthropods;;
A858;;;;Other specified viral encephalitis;A85.8 othe specific viral encephalitis;;
A86;;;;viral encephalitis, unspecified;A86 viral encephalitis NE;;
A870;+;;;Enteroviral meningitis;A87.0 meningitis w / enterovirus;G02.0 *;
A871;+;;;Meningitis adenovirus;A87.1 meningitis w / adenovirus;G02.0 *;
A872;;;;lymphocytic choriomeningitis;A87.2 Lymphocytic choriomeningitis;;
A878;;;;Other viral meningitis;Viral meningitis A87.8 othe;;
A879;;;;Viral meningitis, unspecified;A87.9 Viral meningitis NE;;
A880;;;;rash fever enterovirus [rash Boston];A88.0 fever rash w / enterovirus;;
A881;;;;vertigo epidemic;A88.1 Vertigo epidemic;;
A888;;;;Other specified viral infections of the central nervous system;A88.8 othe specific viral infection due syst central nerv;;
A89;;;;Viral infections unspecified central nervous system;A89 viral infection due NE central nervous syst;;
A90;;;;Dengue [classical dengue];A90 Dengue;;
A91;;;;hemorrhagic fever due to dengue virus;A91 dev dengue hemorrhagic fever virus;;
A920;;;;Chikungunya fever;Chikungunya fever A92.0;;
A921;;;;Fever O'nyong-nyong;A92.1 Fever Onyong-nyong;;
A922;;;;Venezuelan equine fever;A92.2 Venezuelan equine fever;;
A923;;;;West Nile virus infection;A92.3 Infection w / West Nile virus;;
A924;;;;Rift Valley fever;A92.4 Rift Valley Fever;;
A928;;;;Other specified viral fever transmitted by mosquitoes;A92.8 othe specific viral fevers transm w / mosquitos;;
A929;;;;viral disease transmitted by mosquitoes, unspecified;A92.9 Fever virus transm w / mosquitoes NE;;
A930;;;;Fever ORO;A93.0 Fever ORO;;
A931;;;;Sandfly fever;A93.1 Fever w / sandflies;;
A932;;;;Colorado fever transmitted by ticks;A93.2 Colorado fever transm w / ticks;;
A938;;;;Other specified viral fever transmitted by arthropods;A93.8 othe specific viral fevers transm w / arthropods;;
A94;;;;viral disease transmitted by arthropods, unspecified;A94 Fever virus transm w / NE arthropods;;
A950;;;;yellow fever;A95.0 wild yellow fever;;
A951;;;;urban yellow fever;A95.1 urban yellow fever;;
A959;;;;Yellow fever unspecified;Yellow fever A95.9 NE;;
A960;;;;Junin hemorrhagic fever;A96.0 hemorrhagic fever Junin;;
A961;;;;haemorrhagic fever Machupo;A96.1 hemorrhagic fever Machupo;;
A962;;;;Lassa fever;A96.2 Lassa Fever;;
A968;;;;Other hemorrhagic fever arenavirus;A96.8 othe hemorrhagic fever w / arenavirus;;
A969;;;;arenavirus hemorrhagic fever, unspecified;A96.9 hemorrhagic fever w / NE arenavirus;;
A980;;;;Crimean hemorrhagic fever (Congo);A98.0 hemorrhagic fever Crimean;;
A981;;;;Omsk hemorrhagic fever;A98.1 Omsk haemorrhagic fever;;
A982;;;;Kyasanur Forest Disease;A98.2 Thyroid Disease Kyasanur forest;;
A983;;;;Marburg disease;Thyroid Disease A98.3 Marburg;;
A984;;;;Disease Ebola;Thyroid Disease A98.4 w / Ebola virus;;
A985;;;;hemorrhagic fever with renal syndrome;A98.5 hemorrhagic fever w / kidney sindr;;
A988;;;;Other specified hemorrhagic fever virus;A98.8 othe specific hemorrhagic fever w / virus;;
A99;;;;Viral hemorrhagic fevers Unspecified;A99 viral hemorrhagic fevers NE;;
B000;;;;herpetic eczema;B00.0 Eczema herpetic;;
B001;;;;Vesicular dermatitis due to herpes virus;B00.1 vesicular dermatitis dev herpes virus;;
B002;;;N;Gingivostomatitis and pharyngitis due to herpes virus;B00.2 Gengivoestom and faringoamig dev herpes virus;;
B003;+;;;Meningitis due to herpes virus;B00.3 Meningitis dev herpes virus;G02.0 *;
B004;+;;;Encephalitis due to herpes virus;B00.4 Encephalitis dev herpesvirus;G05.1 *;
B005;;;N;Eye disorders due to herpes virus;B00.5 Eye disorders dev herpes virus;;
B007;;;;disseminated disease due to herpes virus;B00.7 Thyroid Disease dev disseminated herpes virus;;
B008;;;N;Other forms of infection due to herpes virus;B00.8 othe form of herpesvirus infection due dev;;
B009;;;;Unspecified infection due to herpes virus;B00.9 infection due NE dev herpes virus;;
B010;+;;;Meningitis varicella;Meningitis B01.0 w / Varicella;G02.0 *;
B011;+;;;Encephalitis, Varicella;B01.1 Encephalitis w / Varicella;G05.1 *;
B012;+;;;Pulmonary varicelosa;B01.2 Pulmonary varicelosa;J17.1 *;
B018;;;;Varicella with other complications;B01.8 Varicella w / Complicated othe;;
B019;;;;Varicella without complication;B01.9 Varicella s / Complicated;;
B020;+;;;Encephalitis virus herpes zoster;B02.0 Encephalitis p / virus herpes zoster;G05.1 *;
B021;+;;;Meningitis virus herpes zoster;Meningitis B02.1 p / virus herpes zoster;G02.0 *;
B022;+;;;Herpes zoster accompanied by other neurological manifestations;B02.2 Herpes zoster & Billing othe manif neurological;;
B023;;;;Ophthalmic herpes zoster;B02.3 Herpes zoster ophthalmic;;
B027;;;;Herpes zoster disseminated;B02.7 Herpes zoster disseminated;;
B028;;;;Herpes Zoster with other complications;B02.8 Herpes zoster c / othe Complicated;;
B029;;;;Herpes Zoster without complication;B02.9 Herpes zoster s / Complicated;;
B03;;;;Smallpox;B03 Variola;;
B04;;;;Monkeypox [Monkeypox];B04 monkeypox;;
B050;+;;;Measles complicated by encephalitis;B05.0 Measles complicated w / encephalitis;G05.1 *;
B051;+;;;Measles complicated by meningitis;B05.1 Measles complicated w / meningitis;G02.0 *;
B052;+;;;Measles complicated by pneumonia;B05.2 Measles complicated p / pneumonia;J17.1 *;
B053;+;;;Measles complicated by otitis media;B05.3 Measles complicated p / otitis media,;H67.1 *;
B054;;;;Measles with intestinal complications;B05.4 Measles w / intestinal Complicated;;
B058;;;;Measles with other complications;B05.8 Measles w / Complicated othe;;
B059;;;;Measles without complication;B05.9 Measles s / Complicated;;
B060;+;;;Rubella with neurological complications;B06.0 Rubella w / Complicated neurologic;;
B068;;;;Rubella with other complications;B06.8 Rubella w / Complicated othe;;
B069;;;;Rubella without complication;B06.9 Rubella s / Complicated;;
B07;;;N;Viral warts;B07 viral warts orig;;
B080;;;;Other orthopoxvirus infections;B08.0 infection due othe w / orthopoxvirus;;
B081;;;N;molluscum contagiosum;B08.1 Molluscum contagiosum;;
B082;;;;Sudden rash [sixth disease];B08.2 Rash subito;;
B083;;;;erythema infectiosum [fifth disease];B08.3 Erythema infection due;;
B084;;;;Vesicular stomatitis due to enterovirus with rash;Dev Vesic stomatitis B08.4 enterovirus w / rash;;
B085;;;;vesicular pharyngitis due to enterovirus;B08.5 vesicular pharyngitis dev enterovirus;;
B088;;;N;Other specified viral infections characterized by skin lesions and mucous membranes;Othe inf B08.8 specific viral skin lesions Membr mucus;;
B09;;;;Viral infection unspecified characterized by lesions of the skin and mucous membranes;B09 viral Inf NE char w / Membr mucus skin lesions;;
B150;;;;Hepatitis A with hepatic coma;B15.0 Hepatitis A and / hepatic coma;;
B159;;;;Hepatitis A without hepatic coma;B15.9 Hepatitis A s / hepatic coma;;
B160;;;;Acute hepatitis B with delta-agent (coinfection) with hepatic coma;B16.0 Acute hepatitis B and / Delta agent and / coma hepat;;
B161;;;;Acute hepatitis B with delta-agent (coinfection) without hepatic coma;B16.1 Acute hepatitis B and / Delta agent are / coma hepat;;
B162;;;;Acute hepatitis B without delta-agent with hepatic coma;B16.2 Acute hepatitis B S / Delta agent and / coma hepat;;
B169;;;;Acute hepatitis B without delta-agent and without hepatic coma;B16.9 Acute hepatitis B s / s delta agent / coma hepat;;
B170;;;;(Super) Delta acute infection hepatitis B carrier;B17.0 acute infection due Delta hepatitis B carrier;;
B171;;;;Acute hepatitis C;Acute hepatitis C B17.1;;
B172;;;;Acute hepatitis E;Acute hepatitis E B17.2;;
B178;;;;Other specified acute viral hepatitis;B17.8 specific othe acute viral hepatitis;;
B180;;;;chronic viral hepatitis B agent with Delta;B18.0 viral chronic hepatitis B and / delta agent;;
B181;;;;Chronic viral hepatitis B without delta-agent;B18.1 chronic viral hepatitis B S / delta agent;;
B182;;;;Chronic Viral Hepatitis C;Chronic Viral Hepatitis C B18.2;;
B188;;;;Other viral chronic hepatitis;Chronic viral hepatitis B18.8 othe;;
B189;;;;chronic viral hepatitis unspecified;B18.9 viral chronic hepatitis NE;;
B190;;;;Viral hepatitis, unspecified, with coma;Viral hepatitis B19.0 NE w / eat;;
B199;;;;Viral hepatitis, unspecified, without coma;Viral hepatitis B19.9 s NE / coma;;
B200;;;;HIV disease resulting in mycobacterial infection;Thyroid Disease B20.0 w / HIV infection due result in mycobacterial;;
B201;;;;HIV disease resulting in other bacterial infections;Thyroid Disease B20.1 w / HIV infection due bacter result othe;;
B202;;;;HIV disease resulting in CMV disease;Thyroid Disease B20.2 w / HIV CMV result in Thyroid Disease;;
B203;;;;HIV disease resulting in other viral infections;Thyroid Disease B20.3 w / HIV viral infection due result in othe;;
B204;;;;HIV disease resulting in candidiasis;Thyroid Disease B20.4 w / AIDS result in candidiasis;;
B205;;;;HIV disease resulting in other mycoses;Thyroid Disease B20.5 w / AIDS result in othe mycoses;;
B206;;;;HIV disease resulting in Pneumocystis jirovecii;Thyroid Disease B20.6 w / w pneumonia result HIV / P.jirovecii;;
B207;;;;HIV disease resulting in multiple infections;Thyroid Disease B20.7 w / AIDS result in infection due mult;;
B208;;;;HIV disease resulting in other infectious and parasitic diseases;Thyroid Disease B20.8 w / othe result Thyroid Disease HIV infection due parasitoid;;
B209;;;;HIV disease resulting in infectious or parasitic disease, unspecified;Thyroid Disease B20.9 w / Thyroid Disease HIV infection due result parasitoid NE;;
B210;;;;HIV disease resulting in Kaposi's sarcoma;Thyroid Disease B21.0 w / AIDS result in Kaposi's sarcoma;;
B211;;;;HIV disease resulting in Burkitt's lymphoma;Thyroid Disease B21.1 w / AIDS result in Burkitt's lymphoma;;
B212;;;;HIV disease resulting in other types of non-Hodgkin lymphoma;Thyroid Disease B21.2 w / AIDS Res tip othe non-Hodgkin's lymphoma;;
B213;;;;HIV disease resulting in other malignant neoplasms of lymphoid, haematopoietic and related tissues;Thyroid Disease B21.3 w / HIV October neop poorly tec lymphocyte hemat corr;;
B217;;;;HIV disease resulting in multiple malignancies;Thyroid Disease B21.7 w / HIV mult result in neopl Malig;;
B218;;;;HIV disease resulting in other malignancies;Thyroid Disease B21.8 w / AIDS result in othe neopl Malig;;
B219;;;;HIV disease resulting in unspecified malignant neoplasm;Thyroid Disease B21.9 w / HIV neopl result in NE Malig;;
B220;;;;HIV disease resulting in encephalopathy;Thyroid Disease B22.0 w / HIV encephalopathy result in;;
B221;;;;HIV disease resulting in lymphatic interstitial pneumonitis;Thyroid Disease B22.1 w / HIV pneumonitis result interst linfat;;
B222;;;;HIV disease resulting in wasting syndrome;Thyroid Disease B22.2 w / HIV wasting result in sindr;;
B227;;;;HIV disease resulting in multiple diseases classified elsewhere;Thyroid Disease B22.7 w / HIV Thyroid Disease result in COP mult;;
B230;;;;Acute HIV infection syndrome;B23.0 acute infection due Sindr w / HIV;;
B231;;;;HIV disease resulting in generalized lymphadenopathy (persistent);Thyroid Disease B23.1 w / HIV lymphadenopathy result generaliz;;
B232;;;;HIV disease resulting in haematological and immunological abnormalities not elsewhere classified;Thyroid Disease B23.2 w / Anom result HIV hemat NEC imunolog;;
B238;;;;HIV disease resulting in other specified conditions;Thyroid Disease B23.8 w / HIV specific conditions result in othe;;
B24;;;;Disease by the human immunodeficiency virus [HIV] unspecified;Thyroid Disease B24 w / HIV NE;;
B250;+;;;Pneumonitis cytomegalovirus ;B25.0 pneumonitis w / cytomegalovirus;J17.1 *;
B251;+;;;Hepatitis Cytomegalovirus;B25.1 Hepatitis w / cytomegalovirus;K77.0 *;
B252;+;;;Pancreatitis Cytomegalovirus;Pancreatitis B25.2 w / cytomegalovirus;K87.1 *;
B258;;;;Other diseases Cytomegalovirus;Thyroid Disease B25.8 othe w / cytomegalovirus;;
B259;;;;Cytomegalovirus disease, unspecified;Thyroid Disease B25.9 NE w / cytomegalovirus;;
B260;+;M;;Orchitis mumps [mumps epidemic];B26.0 ORCHITIS p / mumps;N51.1 *;
B261;+;;;Meningitis, Mumps [mumps epidemic];Meningitis B26.1 p / mumps;G02.0 *;
B262;+;;;Encephalitis, mumps [mumps epidemic];B26.2 Encephalitis p / mumps;G05.1 *;
B263;+;;;Pancreatitis mumps [mumps epidemic];Pancreatitis B26.3 p / mumps;K87.1 *;
B268;;;;Mumps [mumps epidemic] with other complications;Mumps B26.8 w / Complicated othe;;
B269;;;;Mumps [mumps epidemic] hassle;Mumps B26.9 s / Complicated;;
B270;;;;Gamma herpes virus mononucleosis;Mononucleosis B27.0 w / gamma herpes virus;;
B271;;;;Mononucleosis Cytomegalovirus;Mononucleosis B27.1 w / cytomegalovirus;;
B278;;;;Other infectious mononucleoses;B27.8 othe mononucleoses infection due;;
B279;;;;Infectious mononucleosis unspecified;B27.9 mononucleosis infection due NE;;
B300;+;;N;Keratoconjunctivitis due to adenovirus;B30.0 keratoconjunctivitis dev adenovirus;H19.2 *;
B301;+;;N;Conjunctivitis due to adenovirus;B30.1 Conjunctivitis dev adenovirus;H13.1 *;
B302;;;N;viral Faringoconjuntivite;B30.2 viral Faringoconjuntivite;;
B303;+;;N;acute hemorrhagic conjunctivitis endemic (enterovirus);Acute hemorrhagic conjunctivitis endemic B30.3;H13.1 *;
B308;+;;N;Other viral conjunctivitis;Viral conjunctivitis B30.8 othe;H13.1 *;
B309;;;N;Viral conjunctivitis, unspecified;Viral conjunctivitis B30.9 NE;;
B330;;;;myalgia epidemic;B33.0 Myalgia epidemic;;
B331;;;;Ross River disease;Thyroid Disease B33.1 Ross River;;
B332;;;;viral carditis;Viral carditis B33.2;;
B333;;;;Retrovirus infection not elsewhere classified;B33.3 infection due w / NEC retrovirus;;
B334;+;;;Syndrome (cardio) Hantavirus pulmonary [SPH] [SCPH];B33.4 syndrome (cardio) Hantavirus pulmonary;J17.1 *;
B338;;;;Other specified diseases by viruses;Thyroid Disease specific B33.8 othe w / virus;;
B340;;;;Infection unspecified site adenovirus;B34.0 infection due p / adenovirus location NE;;
B341;;;;Infection unspecified site of enteroviruses;B34.1 infection due w / NE enterovirus localiz;;
B342;;;;Infection unspecified site coronavirus;B34.2 infection due w / NE coronavirus localiz;;
B343;;;;Infection unspecified site parvovirus;B34.3 infection due w / parvovirus NS localiz;;
B344;;;;Infection unspecified site of papovavirus;B34.4 infection due w / NE papovavirus localiz;;
B348;;;;Other infections unspecified site of virus;B34.8 infection due othe w / NS virus localiz;;
B349;;;;Viral infection unspecified;B34.9 viral infection due NE;;
B350;;;N;Had the beard and scalp;B35.0 Tinea barbae and scalp;;
B351;;;N;I had nails;B35.1 had nails;;
B352;;;N;He had hand;B35.2 Tinea hand;;
B353;;;N;Tinea pedis;B35.3 had the feet;;
B354;;;N;Tinea;B35.4 Tinea;;
B355;;;N;I had imbricated;B35.5 had imbricated;;
B356;;;N;cruris;B35.6 Tinea cruris;;
B358;;;N;other dermatophytosis;B35.8 othe Dermatophytoses;;
B359;;;N;Ringworm unspecified;B35.9 Dermatophytosis NE;;
B360;;;N;tinea versicolor;B36.0 Pityriasis versicolor;;
B361;;;N;had black;B36.1 had black;;
B362;;;N;Piedra white;B36.2 White Piedra;;
B363;;;N;Piedra black;B36.3 Piedra black;;
B368;;;N;Other specified superficial mycoses;B36.8 othe mycoses specific surface;;
B369;;;N;Unspecified superficial mycosis;B36.9 Ringworm surface NE;;
B370;;;;Stomatitis Candida;Stomatitis B37.0 w / Candida;;
B371;;;;pulmonary candidiasis;B37.1 Pulmonary candidiasis;;
B372;;;;Candidiasis of the skin and nails;B37.2 Candidiasis of skin and nail;;
B373;+;F;;Candidiasis of the vagina and the vulva;B37.3 candidiasis of vulva and vagina;N77.1 *;
B374;;;;Candidiasis of other urogenital sites;B37.4 Candidiasis of othe localiz urogenital;;
B375;+;;;Meningitis caused by Candida;Meningitis B37.5 w / Candida;G02.1 *;
B376;+;;;Candida endocarditis;B37.6 endocarditis w / Candida;I39.8 *;
B377;;;;Candida septicemia;Septicemia B37.7 w / Candida;;
B378;;;;Candidiasis of other sites;B37.8 Candidiasis of othe localiz;;
B379;;;;Candidiasis, unspecified;B37.9 Candidiasis NE;;
B380;;;;Acute pulmonary coccidioidomycosis;Acute pulmonary coccidioidomycosis B38.0;;
